content,style,IP,total,S,C,E,H
55025,image_103,0.18060225248336792,0.3563973903656006,0.1886584841790753,0.9236099438012504,0.9846909198659034,[0.595309]
56262,55412,0.9993206262588501,0.9049158096313477,0.9994681217831737,0.8066450320889522,-0.9626082769591509,[0.98798823]
56262,55186,0.9987374544143677,0.9285630583763123,0.9988792167389577,0.9225628341633759,0.9771282367880445,[0.8579063]
56262,55115,0.19180628657341003,0.3525986075401306,0.19759290626123652,0.8532855484518553,-0.9767141158276516,[0.9013947]
56262,flipped_image_061,0.1859598606824875,0.3681008517742157,0.19172245656719605,0.9356823580355017,0.9988969434524803,[0.9344097]
56262,flipped_image_120,0.18120354413986206,0.36033663153648376,0.18698339956802207,0.9471837118031029,0.7782794394190019,[0.5797993]
56744,55374,0.2025420069694519,0.39279264211654663,0.20799392555801902,0.9911355867598961,-0.7151696440180986,[0.9617852]
56744,flipped_image_056,0.1915719360113144,0.35315704345703125,0.19707849230335692,0.8683169417303255,-0.1335761223971622,[0.77446026]
56744,flipped_image_022,0.18281060457229614,0.3711661100387573,0.1884399523837762,0.9679163571768713,0.645612372409324,[0.8318685]
56744,image_060,0.1820192039012909,0.3643987774848938,0.18764645898796528,0.9604776916071645,0.05713086463940405,[0.60681975]
56744,image_106,0.18186455965042114,0.3475099503993988,0.18751619030381383,0.8857340638740663,0.9776159077600043,[0.62648904]
55269,flipped_image_034,0.1928102672100067,0.36147579550743103,0.19900016160658526,0.9017422474214716,0.9189050853847048,[0.7387493]
55269,image_052,0.1873122751712799,0.3594456911087036,0.19355027117289694,0.8938683195443795,0.8921255132935357,[0.9185383]
55269,55579,0.18655282258987427,0.37221527099609375,0.19279751084472113,0.964365188111332,-0.7665314762798675,[0.7726507]
55269,55201,0.1855437159538269,0.34863102436065674,0.19178838746251883,0.875481036924935,0.3474417087277506,[0.6509253]
55269,56307,0.18283042311668396,0.37160035967826843,0.18918806216625628,0.9809597313473256,0.09513508505718109,[0.67739934]
55872,56792,0.1907300502061844,0.35069769620895386,0.19623354749286376,0.8514397772208812,-0.9623696096492167,[0.8751529]
55872,56993,0.1906130313873291,0.3490685224533081,0.19606045283859547,0.8486080694147563,0.9140561702416036,[0.8323171]
55872,flipped_image_002,0.1905687004327774,0.3605416417121887,0.19605119149607367,0.8903588083471982,0.7624220233519711,[0.9261637]
55872,image_099,0.188206285238266,0.3563794493675232,0.19365851214865154,0.8797821062780132,-0.7926586750907337,[0.923431]
55872,55232,0.18785284459590912,0.3781753480434418,0.19331039935146324,0.979316663520068,0.8541324577596674,[0.8807618]
56521,image_110,0.1887393593788147,0.3412613868713379,0.19691393358278833,0.8228985934409973,-0.3236647040881971,[0.70774794]
56521,image_023,0.1886349618434906,0.3748488128185272,0.1969120241457667,0.9889785878896852,0.0,[0.47726667]
56521,56951,0.1878425031900406,0.3525991141796112,0.1960769116752212,0.8718329080826821,-0.8862090492247108,[0.74118495]
56521,image_071,0.18706664443016052,0.366925448179245,0.19535275699787455,0.9545147674604142,0.0,[0.53200597]
56521,flipped_image_041,0.18461334705352783,0.3507964313030243,0.19316034130775353,0.8677825363340863,-0.7607956865711671,[0.7997117]
56413,image_004,0.1989636868238449,0.36384209990501404,0.20714248664328216,0.8957834951645904,0.9698170607019202,[0.6406083]
56413,image_131,0.187387615442276,0.36281314492225647,0.19580858073536814,0.9325698826703203,0.9047046053322658,[0.56280303]
56413,56245,0.18312665820121765,0.38108861446380615,0.19150601865834935,0.989072516707812,0.9954067152280242,[0.9773872]
56413,image_072,0.1829833984375,0.3631012439727783,0.1913366547149233,0.9436065518272959,0.8279419910399014,[0.6068039]
56413,55388,0.18115699291229248,0.3392411768436432,0.1895963566285144,0.8249591084047339,0.8600000519829999,[0.83915555]
55424,flipped_image_044,0.20819991827011108,0.36643099784851074,0.2125463438220434,0.8844165520363125,0.9999989742282345,[0.71163726]
55424,image_014,0.19267912209033966,0.3623957931995392,0.1970531652407319,0.9137995607001627,-0.01860168038440494,[0.71423364]
55424,55453,0.19262287020683289,0.3633265793323517,0.19692850220983393,0.9222099049860811,-0.26752938643380764,[0.668417]
55424,flipped_image_128,0.18935620784759521,0.37082067131996155,0.19380189901256523,0.9446148164150525,0.9999487749245722,[0.89489716]
55424,flipped_image_130,0.18484416604042053,0.36477428674697876,0.18925601444980583,0.941063966411212,0.0,[0.79251784]
55273,flipped_image_072,0.20023204386234283,0.37030038237571716,0.2075046595646412,0.9185856276609033,0.23044743880312055,[0.6886214]
