img,sigma,H,AU1,AU2,AU3,AU4,AU5,AU6,AU7,AU8,AU9,AU10,AU11,AU12,AU13,AU14,AU15,AU16,AU17,AU18,Pose1,Pose2,Pose3,Pose4,Pose5,Pose6,Pose7,Pose8,Pose9,Pose10,Pose11,Pose12,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12
flipped_image_092.png,0.41893387,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.36146,146.87975,87.11439,154.31851,116.31716,108.66069,25.75078,123.29264,126.7352,112.41531,90.73204,165.97273
image_007.png,0.5315401,1.0397207736968994,0.13799399,0.045224052,0.028552778,0.5050115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.66039,159.44641,62.955566,32.37541,123.7135,137.69196,96.02822,121.45117,165.77995,149.44281,111.47044,159.8655
image_106.png,0.4895491,1.011404275894165,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79.02977,137.6752,85.4981,137.10492,116.10728,94.53699,170.48663,109.858864,105.122444,42.199036,121.36794,125.38523
image_062.png,0.56114197,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.55408,129.05011,95.20807,137.94933,117.18876,107.02177,35.00254,122.76297,120.97878,81.81533,109.8229,127.05037
flipped_image_028.png,0.43538684,1.2553493976593018,0.122522704,0.042485826,0.0021996314,0.42874497,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,113.887794,138.34892,105.17112,183.13583,122.46368,117.519485,37.44921,126.195694,135.6695,134.18877,117.85756,156.20358
image_081.png,0.47543585,1.6527882814407349,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91.76312,150.42422,76.55917,148.26764,119.87318,111.74341,32.410843,129.28642,127.06922,116.032074,118.90447,155.76949
flipped_image_110.png,0.43577453,1.0997259616851807,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,149.32158,133.10973,106.146614,90.603836,130.85614,109.33151,198.13179,132.39497,116.93977,12.861972,131.11163,117.715454
image_090.png,0.46137637,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,118.821556,129.14114,83.3464,145.77701,110.42526,110.97942,31.905985,121.29397,123.45588,91.569885,105.7443,145.71663
flipped_image_138.png,0.5068303,1.0888999700546265,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,146.84921,114.194016,91.9358,39.495686,119.457466,139.91664,86.839615,111.264656,157.50513,131.33722,104.74546,159.51314
flipped_image_109.png,0.5668083,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,126.388115,143.13687,75.69425,29.534857,123.61294,123.46677,75.862854,139.44717,139.32242,121.26335,84.28287,161.60797
