img,sigma,H,AU1,AU2,AU3,AU4,Pose1,Pose2,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12
flipped_image_143.png,0.49061728,262.7679138183594,0.0,0.0,0.0,0.0,1.239185447442495,-1.1932742360195496,93.02764,143.08253,75.375984,158.09592,117.94791,94.39405,34.663486,123.67271,120.353806,143.98692,122.97102,149.8654
flipped_image_066.png,0.47767085,379.2200927734375,0.0,0.0,0.0,0.0,-0.4814210351770347,-0.2609964487854582,118.436356,128.94344,83.27781,30.731262,129.87042,127.12871,117.655785,114.5461,122.582985,83.50189,119.35266,154.40219
flipped_image_005.png,0.3340404,242.91891479492188,0.1266460418701172,0.008655122481286526,0.010720919817686081,0.4647615849971771,0.0,0.0,75.37989,169.57736,58.06181,208.69054,128.99234,134.2092,54.065887,124.212875,129.40144,151.13234,125.076614,160.43231
image_099.png,0.57949674,244.12359619140625,0.0,0.0,0.0,0.0,0.6933870573449497,-0.4246444958300887,84.46014,155.65266,65.63941,159.35002,113.23146,94.7446,20.183125,126.49301,125.96297,103.190475,119.76486,155.10396
flipped_image_129.png,0.58037317,295.5545654296875,0.10506805777549744,0.03084525465965271,0.015049091540277004,0.4811892807483673,0.0,0.0,79.52582,155.15889,68.21119,143.19965,115.897766,102.28877,20.544168,126.16719,128.9227,99.61105,120.89277,154.68303
flipped_image_052.png,0.61104333,356.000732421875,0.11330445855855942,0.009564443491399288,0.9544072151184082,0.5651738047599792,-1.4722205397031645,-0.5432468407029467,103.98038,127.300674,89.0639,53.1264,134.40065,95.075645,65.94811,127.72256,117.84649,32.632854,119.51339,128.98337
image_077.png,0.4822761,212.02755737304688,0.11140377819538116,0.09833590686321259,0.0038929516449570656,0.4648341238498688,-0.06347495855919902,-0.5434800396602852,103.59156,144.98883,71.25347,31.944048,127.66871,127.48936,113.90531,115.2208,120.49434,105.77823,107.35477,155.25882
flipped_image_058.png,0.5076523,273.7513122558594,0.0,0.0,0.0,0.0,0.0,0.0,73.24831,150.25871,74.375465,93.96184,120.61273,108.07754,168.51465,116.91179,105.51156,27.087225,123.80862,125.54381
image_043.png,0.54676056,484.410888671875,0.0,0.0,0.0,0.0,0.0,0.0,89.246666,131.72736,88.97267,126.16478,113.21821,106.39279,30.49496,130.78484,135.98225,90.998535,126.7559,151.42177
flipped_image_112.png,0.50194407,375.4707336425781,0.0,0.0,0.0,0.0,0.0,0.0,132.89746,123.13086,107.74756,54.99381,124.90731,114.05303,183.54758,119.07447,113.67267,12.9570265,126.88401,124.0438
flipped_image_108.png,0.51286346,330.0068359375,0.0,0.0,0.0,0.0,-1.2392642735793853,-0.3311832575507181,137.23753,114.10552,96.036575,57.326416,142.91261,120.30397,44.64563,117.25835,125.473175,105.87425,101.12316,133.8212
flipped_image_023.png,0.39563358,368.04547119140625,0.0,0.0,0.0,0.0,0.0,0.0,110.481544,142.48277,71.23722,141.11447,125.45116,82.03471,44.25587,123.11309,126.19169,163.67563,122.05239,143.71664
image_059.png,0.47870135,281.9393005371094,0.0,0.0,0.0,0.0,-0.9144516394922748,-0.32855264923314226,77.205574,151.9793,71.031715,166.29907,116.759384,109.54648,103.00416,116.06089,116.77191,21.086452,124.32403,126.07801
flipped_image_001.png,0.24902903,164.26101684570312,0.0,0.0,0.0,0.0,0.0,0.0,169.66501,117.0743,95.67359,129.09059,143.98485,132.98924,56.054382,131.9673,133.24637,190.08363,126.469696,130.49394
flipped_image_142.png,0.476204,209.69078063964844,0.0,0.0,0.0,0.0,0.9919423209805208,-0.4839012805036914,92.524086,143.79085,74.58041,136.96921,125.45356,82.75922,39.34271,122.865456,119.99927,170.17302,124.828766,145.11507
image_083.png,0.29944494,364.5660705566406,0.0,0.0,0.0,0.0,0.0,0.0,189.04533,121.130325,118.92802,157.41635,120.78742,119.1226,99.23404,121.92188,121.74879,27.936121,125.287636,125.16617
image_144.png,0.4492965,141.78382873535156,0.0,0.0,0.0,0.0,-1.0075375902250694,-0.3708823635142653,103.5211,134.09212,81.943634,145.71149,118.12235,89.5749,36.07107,123.78281,119.63499,172.54295,118.203156,130.86707
flipped_image_038.png,0.49310946,424.64239501953125,0.11504735797643661,0.08989560604095459,0.014925430528819561,0.48905327916145325,0.49540654664231953,-0.02726145205531827,118.16135,130.46349,81.30098,41.448845,126.59179,127.572525,165.54082,115.72916,123.75137,97.05776,107.70263,143.9407
image_074.png,0.51999295,182.42190551757812,0.0,0.0,0.0,0.0,-0.09085300617001546,-0.3997473864662884,113.07496,136.1672,81.20857,171.05336,108.499306,99.485214,21.372335,126.08518,125.54368,144.31781,106.83799,128.37595
flipped_image_045.png,0.70479584,527.4694213867188,0.0,0.0,0.0,0.0,0.0,0.0,63.585903,179.34479,50.44318,39.111122,161.43033,74.27939,20.678165,121.49944,131.00931,72.251076,100.73243,154.18498
image_097.png,0.5582757,152.18663024902344,0.0,0.0,0.0,0.0,0.06396861789673897,-0.6513360588345614,102.38428,136.17056,79.72285,146.44557,109.22629,100.82205,22.546246,122.73183,131.11723,100.44626,110.33041,146.55338
flipped_image_062.png,0.56139237,341.0094299316406,0.0,0.0,0.0,0.0,0.06168340588924124,-0.19491001089257326,80.540565,129.06557,95.188736,137.92502,117.19023,107.01867,35.000324,122.761894,120.98164,81.81523,109.828415,127.03976
image_061.png,0.5264746,184.66848754882812,0.0,0.0,0.0,0.0,-0.7400162283233761,-0.14955174347750275,89.672104,161.63896,57.766727,124.14347,119.1877,108.177,24.342617,126.57298,125.12951,89.89491,93.8517,160.01381
flipped_image_051.png,0.5990151,363.3410949707031,0.0,0.0,0.0,0.0,-1.3850178813982357,-0.3457521290203992,54.58296,135.56506,93.26673,101.22265,128.59116,88.7718,64.73052,126.203415,117.27565,31.16742,120.23208,125.21569
flipped_image_119.png,0.5634439,468.22064208984375,0.0,0.0,0.0,0.0,0.9109200766857831,-0.18519575664661464,74.843445,154.11876,70.288475,137.97629,117.964005,94.642784,18.563189,126.99869,130.53352,91.67724,113.71586,153.86995
flipped_image_061.png,0.52670485,184.72406005859375,0.0,0.0,0.0,0.0,0.5139698429995352,0.05483771485558234,89.672104,161.63896,57.766727,124.14347,119.1877,108.177,24.342617,126.57298,125.12951,89.89491,93.8517,160.01381
flipped_image_041.png,0.55746853,174.41868591308594,0.12440765649080276,0.15846939384937286,0.9955787062644958,0.5393675565719604,-0.5933676132445449,-0.3492429755341273,49.026028,160.5787,72.19496,110.18557,135.47789,80.967766,67.292755,145.1209,130.77684,14.249674,127.244995,126.77184
image_150.png,0.57207,337.5284118652344,0.0,0.0,0.0,0.0,0.0,0.0,113.90296,128.10344,85.427086,38.074413,121.01307,129.75696,158.58685,123.84004,151.687,106.76888,128.5957,170.74165
flipped_image_121.png,0.6064897,460.4169616699219,0.0,0.0,0.0,0.0,0.0,0.0,67.75786,160.0446,65.89709,129.45851,118.63001,97.46068,16.860462,129.19115,124.44413,83.877914,140.3964,165.40463
image_037.png,0.39570642,307.0356750488281,0.12546208500862122,0.05001334473490715,0.006843250244855881,0.519586980342865,-0.6519953256526203,-0.2725834049048877,125.89778,126.84431,85.4311,61.468517,128.48799,126.102516,163.04312,121.11933,125.961586,126.871376,124.46102,140.09828
image_014.png,0.37743413,98.64087677001953,0.0,0.0,0.0,0.0,-0.32937091260532564,-0.2783034257685676,119.22584,137.41602,73.70225,40.108524,125.28768,115.51258,180.68196,118.369225,121.66383,161.9183,124.11265,139.52113
image_101.png,0.54151106,201.3963623046875,0.0,0.0,0.0,0.0,0.0,0.0,73.31016,164.38475,60.04048,137.78163,119.76744,88.78965,95.33354,116.71966,112.55184,36.714405,118.31718,135.81982
image_036.png,0.60759354,335.0091552734375,0.0,0.0,0.0,0.0,0.0,0.0,46.89443,167.39594,66.73138,149.5159,124.956116,88.57917,26.146814,125.0687,130.19179,149.36438,132.86823,174.70023
flipped_image_048.png,0.6121386,448.5764465332031,0.0,0.0,0.0,0.0,0.0,0.0,60.833447,170.41452,59.2721,125.98208,118.810196,107.819336,22.64835,126.554955,121.63583,76.69259,107.20053,138.19345
flipped_image_009.png,0.39205885,409.2889099121094,0.12005139142274857,0.1382143199443817,0.006594528444111347,0.4184141457080841,0.0,0.0,72.89636,153.99913,71.418884,39.8158,126.01837,127.90487,148.52895,122.741425,134.37238,105.54213,128.9063,162.21016
image_063.png,0.43786785,224.86155700683594,0.10918036103248596,0.09392381459474564,0.02156924270093441,0.48910292983055115,0.0,0.0,79.2108,151.416,71.04977,27.743383,126.276955,129.42833,142.90822,111.49287,121.20029,99.68119,126.6525,155.42108
image_040.png,0.6151678,317.013671875,0.09076400846242905,0.03577590733766556,0.013904910534620285,0.5016902089118958,-0.0226474116960571,-0.33649573184656534,54.66881,180.15576,52.287434,131.86708,124.04914,87.39391,10.814322,126.250725,127.70903,69.1717,133.32352,136.06961
