content,style,IP,total,S,C,E,H
55471,flipped_image_026,0.19270861,[0.5114382],0.1966072780641815,0.9158651834605644,0.7458637420818095,[0.52990854]
55471,image_021,0.18675667,[0.36412016],0.19060617955432435,0.9092586973717466,-0.26474420536616056,[0.7150217]
55471,image_038,0.18462485,[0.37691206],0.18844893953975903,0.8809649224502867,-0.20861090854572933,[0.99379504]
55471,flipped_image_139,0.18338993,[0.4843796],0.18725197082091638,0.8842994519908165,0.5037747431650224,[0.9979513]
55471,flipped_image_008,0.18321967,[0.44345817],0.18707359177244157,0.8745457589876342,0.2825194228031932,[0.90359455]
56791,image_134,0.1821348,[0.4092108],0.1916631772496181,0.9001439425770322,0.0,[0.8667209]
56791,image_073,0.1820215,[0.41802898],0.19115119294472518,0.887068713763783,0.138166019926421,[0.7121577]
56791,image_119,0.18201087,[0.4078244],0.1915713950029296,0.9671240037725976,0.0,[0.43802977]
56791,flipped_image_048,0.18100207,[0.40411985],0.19032770615304018,0.9514794892259552,0.0,[0.4702434]
56791,flipped_image_029,0.17862794,[0.5629702],0.18797751527320486,0.9282122772538746,0.9930279866733442,[0.83127135]
55083,flipped_image_120,0.18955158,[0.32960647],0.19668109895985372,0.8903144047706646,-0.44610619619252423,[0.6217501]
55083,flipped_image_078,0.18091604,[0.52511847],0.18801191526442415,0.9741928860043046,0.707331562000905,[0.6550983]
55083,image_048,0.17835395,[0.38343605],0.18563473381637222,0.8792374080926715,0.0,[0.5369489]
55083,flipped_image_111,0.17783004,[0.41564125],0.1849538958851281,0.94140967343364,0.0,[0.81482744]
55083,image_132,0.17724016,[0.4931435],0.18441554592401135,0.970791121611171,0.3998434169106536,[0.99443734]
55579,image_104,0.1915547,[0.36908746],0.1980422147735553,0.8907831253649675,-0.25384007522952334,[0.81814814]
55579,flipped_image_017,0.18361142,[0.37729606],0.19016460077345385,0.9283707747291373,-0.29703632242930506,[0.9651597]
55579,flipped_image_118,0.18058561,[0.42593235],0.18714199270537774,0.9768089437021006,0.0,[0.78637373]
55579,image_059,0.17379552,[0.39613792],0.18063264426591655,0.916152418820916,-0.06521397986776413,[0.81515974]
55579,image_002,0.17315733,[0.5373604],0.17999935250831936,0.9703112581696217,0.7480858267790805,[0.8810902]
55412,image_055,0.18296507,[0.28033888],0.18925634746431166,0.9265462839524276,-0.7716825281588113,[0.46998382]
55412,flipped_image_097,0.18086237,[0.4202855],0.18711330997725725,0.86298545711383,0.12666649073120478,[0.9766646]
55412,image_092,0.18064219,[0.50357103],0.18691734398818283,0.8428656015533972,0.7243983498931292,[0.9718579]
55412,image_080,0.17959759,[0.408132],0.18582903466387568,0.9797683663807019,0.0,[0.42573905]
55412,image_056,0.17849302,[0.37730977],0.18475365304475033,0.9500559720666285,-0.251722115671524,[0.753489]
55908,flipped_image_044,0.18999296,[0.3130211],0.19646773173927637,0.9438199821842189,-0.6512157535397451,[0.58647215]
55908,image_149,0.18998122,[0.41740975],0.1964911096533472,0.9098718339293683,0.0,[0.92405236]
55908,flipped_image_149,0.18565363,[0.41523477],0.19215522664820758,0.9098449468749996,0.0,[0.9240737]
55908,image_114,0.18241811,[0.432241],0.18901897974663157,0.9868479931818332,0.0,[0.83354217]
